month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202507,Hawaii,HI,761000.0,-0.0077,-0.0788,6404,-0.009,0.2776,83,0.0641,0.2296,1470,-0.2454,-0.1069,48,0.0909,0.2632,0.005,0.0006,0.0005,1356.0,-0.1091,0.0447,0.143,-0.0113,-0.01,1656,-0.0096,-0.0116,695.0,-0.0206,-0.0472,1104.0,0.0016,-0.0354,1419263.0,-0.0052,-0.0997,8020,-0.0141,0.1986,0.2586,-0.0002,-0.0757,0
202507,Iowa,IA,289938.0,-0.0172,-0.0332,10818,0.0362,0.2264,54,0.0288,0.0094,4508,0.0009,0.1801,56,-0.3333,-0.7956,0.0029,-0.0013,-0.0126,3790.0,0.0593,0.0622,0.1855,0.0076,-0.0173,5109,-0.0569,0.01,171.0,-0.0081,-0.0222,1658.0,-0.0057,0.0033,363971.0,-0.0089,0.0095,15788,0.0068,0.1497,0.4722,-0.0466,-0.1012,0
202507,West Virginia,WV,270000.0,-0.0182,0.1192,3808,0.0366,0.1582,53,0.1053,-0.0187,1900,-0.0031,0.1337,42,-0.1923,-0.4167,0.0049,-0.0016,-0.0044,1296.0,0.0554,0.1634,0.1535,0.0005,0.0073,2448,-0.043,-0.0724,147.0,-0.0098,0.0778,1792.0,-0.0058,0.0234,340222.0,-0.0132,0.0399,6248,0.0039,0.0563,0.6429,-0.0535,-0.1598,0
202507,Texas,TX,375000.0,-0.0079,-0.013,140980,0.0197,0.2408,60,0.0721,0.0917,40154,-0.0928,0.0685,2362,-0.0964,0.0865,0.0107,-0.001,-0.0007,55952.0,-0.0204,0.2196,0.2536,-0.0027,0.0116,39128,-0.0551,0.0228,187.0,-0.0068,-0.0107,2024.0,0.0005,-0.0017,533922.0,-0.0099,-0.0162,179734,0.0016,0.1874,0.2775,-0.022,-0.0591,0
202507,New York,NY,671500.0,-0.0303,0.0,38489,0.0162,0.0948,59,0.1143,0.0174,15490,-0.1782,0.0785,436,0.1913,0.3212,0.0051,0.0009,0.0006,8338.0,0.033,0.1817,0.0989,0.0046,0.0013,30752,0.0159,0.3437,407.0,-0.0274,0.0413,1600.0,0.0,-0.0181,1389027.0,-0.0404,-0.0594,68805,0.0154,0.1899,0.799,-0.0003,0.148,0
202507,Mississippi,MS,299000.0,0.0009,0.0,8521,0.015,0.0931,71,0.0444,0.0763,2796,-0.0359,0.0488,78,-0.22,-0.339,0.0054,-0.0013,-0.003,2784.0,0.022,0.1048,0.189,0.0073,0.009,3437,-0.0648,-0.0301,149.0,0.0009,0.0089,1981.0,0.0043,-0.0061,363271.0,-0.0013,0.0032,11904,-0.0139,0.0527,0.4033,-0.0344,-0.0512,0
202507,Connecticut,CT,549900.0,-0.0211,0.0337,5120,0.0509,0.1429,39,0.1471,0.0541,3694,-0.1095,0.033,46,-0.1786,-0.1154,0.0033,-0.0004,-0.0004,1510.0,0.0244,0.1778,0.1039,0.0041,0.0141,5544,-0.0654,-0.0551,277.0,-0.0507,-0.0301,2013.0,0.0302,0.0737,1084062.0,-0.0242,-0.0002,10652,-0.0171,0.0326,1.0828,-0.1348,-0.2268,0
202507,Alaska,AK,445450.0,-0.0079,0.0361,1970,0.089,0.0407,51,0.0968,0.0737,990,-0.0765,-0.0748,20,0.0,-0.4118,0.0051,0.0001,-0.0036,736.0,0.092,-0.0777,0.1805,0.0102,-0.0107,1097,-0.0045,-0.0403,253.0,-0.0088,0.0368,1784.0,-0.0061,-0.0061,540136.0,-0.005,0.0699,3062,0.0533,0.0076,0.5566,-0.0523,-0.0469,0
202507,Nebraska,NE,349985.0,-0.0162,-0.0113,5291,0.0491,0.182,45,0.0465,0.0345,2660,0.0318,0.131,126,0.8529,0.3404,0.0113,0.0052,0.0016,1632.0,0.1193,0.2496,0.146,0.0149,0.0198,3186,-0.0911,0.0046,171.0,-0.0052,-0.0004,2154.0,-0.001,0.0153,426364.0,-0.0037,-0.0062,8472,-0.0083,0.1117,0.6022,-0.0929,-0.1063,0
202507,Maine,ME,485000.0,-0.0152,0.0778,5089,0.0812,0.2391,53,0.117,0.129,2422,-0.0685,0.0793,24,0.2,0.0909,0.0027,0.0003,-0.0003,1850.0,0.1563,0.2187,0.2105,0.0206,0.0111,1176,0.0657,0.2206,296.0,-0.0036,0.0568,1702.0,-0.0001,0.001,705723.0,0.0072,0.0398,6284,0.0817,0.2358,0.2311,-0.0034,-0.0035,0
202507,Virginia,VA,461973.0,-0.0252,0.03,20709,0.0215,0.3441,43,0.1169,0.1316,10752,-0.0942,0.0258,362,-0.2061,-0.2551,0.009,-0.0014,-0.0043,8058.0,0.0185,0.3676,0.1701,-0.0091,0.0089,10802,-0.0875,0.0216,231.0,-0.0084,0.0358,1998.0,-0.0094,-0.0027,643707.0,-0.0292,-0.022,31583,-0.0136,0.2226,0.5216,-0.0623,-0.1647,0
202507,Florida,FL,435000.0,-0.0091,-0.0312,174584,-0.0227,0.2353,86,0.0755,0.2128,38240,-0.0713,-0.0481,2160,-0.1374,-0.218,0.0084,-0.0009,-0.0036,57158.0,-0.0859,0.0876,0.2246,-0.0126,-0.0058,42706,-0.0624,-0.0852,263.0,-0.0069,-0.0283,1632.0,-0.0003,-0.0049,825198.0,-0.0175,-0.0376,216999,-0.0305,0.1562,0.2446,-0.0104,-0.0857,0
202507,Massachusetts,MA,797000.0,-0.0031,-0.0031,11283,-0.0341,0.2627,43,0.25,0.1184,6608,-0.2039,0.0731,78,0.3929,0.1143,0.0038,0.0013,-0.0008,3820.0,-0.1271,0.3841,0.1902,-0.0029,0.0296,2213,-0.0945,0.0409,439.0,-0.0126,0.0031,1878.0,0.0043,-0.0137,1418895.0,-0.002,-0.0381,13412,-0.0494,0.2243,0.1961,-0.0131,-0.0418,0
202507,Rhode Island,RI,599450.0,0.0008,0.016,1615,0.0183,0.25,37,0.1563,0.1045,1026,-0.1125,-0.0757,14,0.1667,1.3333,0.0036,0.0009,0.0021,462.0,-0.0415,0.2762,0.1107,0.0014,0.022,1540,-0.0459,-0.0801,341.0,0.0009,0.048,1863.0,0.0009,-0.0048,1049638.0,0.0004,0.0042,3129,-0.0205,0.0632,0.9533,-0.0641,-0.342,0
202507,Delaware,DE,485000.0,-0.0202,-0.0332,3012,-0.0117,0.2643,57,0.14,0.0962,1400,-0.0014,0.1041,100,0.25,0.1111,0.0144,0.0016,-0.0021,980.0,-0.1123,0.392,0.1573,-0.0167,0.0313,1784,-0.0462,-0.0847,234.0,-0.0066,-0.006,2071.0,-0.0125,-0.0421,620061.0,-0.0142,-0.0455,4795,-0.0244,0.1151,0.5924,-0.0215,-0.2258,0
202507,Georgia,GA,399250.0,-0.0016,-0.0016,48667,0.0261,0.3013,58,0.0642,0.234,15758,-0.0784,0.0187,876,0.021,0.0023,0.0109,0.0003,-0.002,20148.0,0.038,0.3075,0.2504,0.0108,0.0276,15655,-0.0838,-0.0711,191.0,-0.0051,-0.0032,2112.0,0.0005,-0.0103,551036.0,-0.0073,-0.0383,63545,-0.0037,0.1863,0.3217,-0.0386,-0.129,0
202507,Utah,UT,599450.0,-0.0008,-0.0133,14238,0.0261,0.289,61,0.0804,0.1635,4700,-0.1085,0.0271,392,-0.0531,0.1395,0.0164,-0.0004,0.0004,6052.0,-0.0559,0.373,0.2486,-0.0102,0.0396,5431,-0.0417,0.0095,255.0,-0.0029,-0.0108,2475.0,-0.0055,-0.0053,989338.0,0.0109,-0.0157,19663,0.0061,0.202,0.3814,-0.027,-0.1056,0
202507,District of Columbia,DC,597999.0,-0.0032,-0.0024,2844,-0.0652,0.2107,58,0.1373,0.1262,850,-0.1551,0.0341,26,-0.35,0.1818,0.0059,-0.0021,0.0005,712.0,-0.2227,0.1447,0.1428,-0.0448,-0.0141,798,-0.0932,0.0127,494.0,-0.0235,-0.0446,1277.0,-0.006,0.0018,874363.0,-0.0414,-0.0718,3652,-0.0692,0.1666,0.2804,-0.0087,-0.0548,0
202507,Tennessee,TN,439950.0,-0.0001,0.0062,33046,0.0298,0.2874,60,0.0526,0.3187,11922,-0.0589,0.1132,508,-0.1271,0.419,0.0087,-0.0012,0.0011,14392.0,0.0132,0.1902,0.2471,0.002,-0.0093,13233,-0.0385,0.2563,233.0,-0.0029,0.0107,2000.0,0.0,-0.0027,629900.0,-0.0022,-0.0114,46143,0.0061,0.2751,0.4004,-0.0284,-0.0099,0
202507,Maryland,MD,450000.0,-0.0109,0.0346,13995,0.0056,0.4816,39,0.0986,0.0263,7236,-0.1091,0.0361,372,-0.0558,-0.0792,0.0138,0.0011,-0.0029,5582.0,0.0352,0.4759,0.1652,-0.0093,0.0154,8393,-0.0677,-0.0257,236.0,-0.0043,0.0127,1912.0,0.0008,0.0063,613434.0,-0.0068,0.0036,22472,-0.0165,0.2506,0.5997,-0.0471,-0.3122,0
202507,Alabama,AL,339650.0,-0.001,0.0142,20698,0.0197,0.1912,66,0.0397,0.1391,7082,-0.075,0.0025,358,-0.0376,-0.1713,0.01,-0.0005,-0.0044,7174.0,0.0127,0.1741,0.1966,0.0039,-0.001,8177,0.0211,0.2787,168.0,-0.005,0.0112,1961.0,0.0023,0.0103,456484.0,-0.0093,0.008,28808,0.0197,0.2148,0.3951,0.0005,0.027,0
202507,Louisiana,LA,284950.0,-0.0002,0.0179,16784,0.0076,0.0785,73,0.0355,0.0735,4478,-0.0362,-0.0071,162,0.1739,0.35,0.0062,0.001,0.0013,5296.0,-0.0116,0.0906,0.2014,-0.0003,0.0057,5088,-0.0508,0.0806,154.0,-0.0035,0.0069,1859.0,0.0013,0.0035,377987.0,-0.0028,0.0114,21815,-0.0083,0.0768,0.3031,-0.0187,0.0006,0
202507,Indiana,IN,309450.0,-0.0018,0.0315,15560,0.0622,0.2241,45,0.0465,0.1111,9098,-0.0257,0.0482,212,0.0707,0.0291,0.0062,0.0005,-0.001,8758.0,0.0986,0.2526,0.2512,0.0192,0.0156,10098,-0.0464,0.2493,159.0,-0.0034,0.0222,1944.0,-0.0072,-0.0059,389651.0,-0.0039,0.016,25568,0.014,0.2315,0.649,-0.0739,0.0131,0
