advertiser_id,review_rating_mean,review_rating_count,review_rating_std,responsiveness_mean,negotiation_skills_mean,professionalism_communication_mean,market_expertise_mean,for_sale_price.min_first,for_sale_price.max_first,for_sale_price.count_first,recently_sold.count_first,review_count_first,agent_rating_first,recommendations_count_first,experience_years_first,served_areas_as_name_state_first,specializations_joined_first,designations_joined_first,full_name_first,state_first,experience_years_calc,rating_consistency,price_range_expertise,transaction_volume,avg_skill_score,market_coverage,certification_count,specialization_count,sentiment_score_mean,sentiment_score_std,sentiment_score_count,sentiment_confidence_mean,responsiveness_semantic_score_mean,responsiveness_semantic_score_sum,negotiation_semantic_score_mean,negotiation_semantic_score_sum,communication_semantic_score_mean,communication_semantic_score_sum,professionalism_semantic_score_mean,professionalism_semantic_score_sum,friendliness_semantic_score_mean,friendliness_semantic_score_sum,market_knowledge_semantic_score_mean,market_knowledge_semantic_score_sum,reliability_semantic_score_mean,reliability_semantic_score_sum,problem_solving_semantic_score_mean,problem_solving_semantic_score_sum,enthusiasm_score_mean,frustration_score_mean,satisfaction_score_mean,urgency_score_mean,review_length_mean,review_depth_score_mean,specificity_score_mean,mentions_agent_name_sum,mentions_company_sum,mentions_location_sum,mentions_time_period_sum,sentiment_consistency,overall_skill_competency,skill_mentions_density,emotional_balance,review_quality_score,experience_years_calc_normalized,review_rating_mean_normalized,transaction_volume_normalized,market_coverage_normalized,certification_count_normalized,specialization_count_normalized,client_satisfaction_score,professional_competence_score,market_expertise_score
731,5.0,1,,5.0,5.0,5.0,5.0,75000,6795000,38,196,1,5.0,0,45.77,"Burlington_VT, South Burlington_VT, Winooski_VT, Bristol_VT, Cambridge_VT, Charlotte_VT, Colchester_VT, Essex Junction_VT, Fairfax_VT, Fairfield_VT, Ferrisburgh_VT, Grand Isle_VT, Hinesburg_VT, Huntington_VT, Jeffersonville_VT, Jericho_VT, Jonesville_VT, Milton_VT, Monkton_VT, New Haven_VT, North Ferrisburgh_VT, Richmond_VT, St. Albans_VT, Saint Albans Bay_VT, Shelburne_VT, South Hero_VT, Starksboro_VT, Underhill_VT, Underhill Center_VT, Vergennes_VT, Westford_VT, Williston_VT, Johnson_VT, Stowe_VT","Building Lots, Condominium, Lakefront, Land, Luxury, Relocation, Residential, Waterfront, Single-Family Homes, Buyer's agent, Seller's agent","CRB, CRS",Nancy Jenkins,Vermont,45.77,1.0,15.720599010118336,38,5.0,34,2,11,0.9659390449523926,,1.0,0.9659390449523926,0.5717740431427956,0.5717740431427956,0.6584756076335907,0.6584756076335907,0.5493604801595211,0.5493604801595211,0.6070305332541466,0.6070305332541466,0.5951345711946487,0.5951345711946487,0.6658914685249329,0.6658914685249329,0.5950121879577637,0.5950121879577637,0.552343349903822,0.552343349903822,0.14285714285714285,0.0,0.16666666666666666,0.0,42.0,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,1.0,0.5993777802214026,4.795022241771221,0.30952380952380953,0.3223386736082804,0.9043667259434895,1.0,0.11949685534591195,0.03066914498141264,0.1,0.2631578947368421,0.9987425012183988,0.9395588690671761,0.1500172136357466
3767,4.98,53,0.14,4.98,4.84,4.98,4.98,389900,1495000,7,73,53,5.0,7,33.77,"Cataumet_MA, East Sandwich_MA, Falmouth_MA, Monument Beach_MA, Sagamore_MA, Sandwich_MA, Barnstable Village_MA, Centerville_MA, Cotuit_MA, Forestdale_MA, Marstons Mills_MA, Mashpee_MA, West Barnstable_MA, Yarmouth Port_MA, All Towns on Cape Cod","Historic Homes, Sandwich Village Properties, Vacation Homes, Condos, Land, Waterfront Properties, First Time Buyers, Senior Specialist, Relocation Specialist, Buyer's agent, Seller's agent","GRI, ABR, CRB, CRS, AHWD, SRES, SRS",Beverly Comeau,Massachusetts,33.77,0.8771929824561403,13.915448196366205,7,4.945,15,7,11,0.8796325606458327,0.18412650744116002,34.0,0.8981399132924921,0.5599372016046854,19.037864854559302,0.6192486244527733,21.05445323139429,0.5651453645242488,19.214942393824458,0.613683932734763,20.86525371298194,0.6112808612558771,20.783549282699823,0.6289651729166508,21.384815879166126,0.6051146012237844,20.573896441608667,0.558247164987466,18.98040360957384,0.07983193277310924,0.0,0.014705882352941176,0.024509803921568624,65.88235294117646,0.10784313725490195,0.07352941176470588,0.0,0.0,0.0,0.0,0.8445043614140111,0.5952028654625311,4.761622923700249,0.09453781512605042,0.31737218741303175,0.6672594348942897,0.9950000000000001,0.0220125786163522,0.013011152416356878,0.6,0.2631578947368421,0.9907501294275207,0.7889625990873973,0.054282440785667706
7224,4.9,122,0.33,4.85,4.74,4.9,4.95,99900,950000,8,96,122,4.9,120,,"Greenfield_MA, Ashfield_MA, Bernardston_MA, Buckland_MA, Colrain_MA, Conway_MA, Deerfield_MA, Montague_MA, Northfield_MA, Shelburne Falls_MA, South Deerfield_MA, Turners Falls_MA","Specialist, and, Relocation, Residential","GRI, ABR, CRS, PMN, AHWD",Corinne Fitzgerald,Massachusetts,0.0,0.7518796992481203,13.653111621267076,8,4.86,12,5,4,0.8894374596661535,0.18954837356769438,87.0,0.9121542168759752,0.5750718037758408,50.03124692849815,0.6378066233177294,55.489176228642464,0.5869910981598606,51.06822553990787,0.632091758986828,54.99198303185403,0.6408212426621681,55.751448111608624,0.6389335707772053,55.587220657616854,0.6332574089796379,55.093394581228495,0.5672387163015618,49.349768318235874,0.08866995073891625,0.0,0.036398467432950186,0.005747126436781609,62.87356321839081,0.11494252873563218,0.07471264367816093,0.0,0.0,0.0,0.0,0.8406551782344077,0.6140265278701039,4.912212222960831,0.12506841817186642,0.3178051378752214,0.0,0.9750000000000001,0.025157232704402517,0.010223048327137546,0.4,0.07894736842105263,0.9752801673663118,0.36842909623594283,0.056510791326638055
10906,5.0,14,0.0,5.0,5.0,5.0,5.0,1195000,1195000,1,16,14,5.0,13,28.77,"Bethesda_MD, Chevy Chase Town_MD, Poolesville_MD, Boyds_MD, Dickerson_MD, Rockville_MD, Potomac_MD, Clarksburg_MD, Germantown_MD, Gaithersburg_MD, Montgomery Village_MD, Frederick_MD, Monrovia_MD, Montgomery and Frederick County plus all of Maryland","1st Timers, Certified Buyers Agent, Country Properties, Land, Residential, Sellers Agent, Horse Properties, Military Relocation, Stategic Pricing Specialist, Senior Residential Specialist, Farms, Senior Real Estate Specialist, Buyer's agent, Seller's agent","SRES, MRP",Marybeth Lewandowski,Maryland,28.77,1.0,0.6931471805599453,1,5.0,14,2,14,0.935085369007928,0.061849190387557644,14.0,0.935085369007928,0.5751487339979836,8.05208227597177,0.6481733236994062,9.074426531791687,0.5690741117245385,7.9670375641435385,0.6207459247005838,8.690442945808172,0.6331565284303257,8.864191398024559,0.6364216280302831,8.909902792423964,0.6074132301977703,8.503785222768784,0.5854841185999768,8.196777660399675,0.04081632653061224,0.0,0.023809523809523808,0.023809523809523808,60.142857142857146,0.14285714285714285,0.09285714285714286,0.0,0.0,0.0,0.0,0.941753319635735,0.6094521999226086,4.875617599380868,0.06462585034013604,0.33179278279158897,0.5684647302904564,1.0,0.0031446540880503146,0.012081784386617101,0.1,0.34210526315789475,0.9976034121983214,0.7312255492968358,0.0049222207470796
19687,5.0,1,,5.0,5.0,5.0,5.0,319900,2990000,37,53,1,5.0,135,,"Bethany Beach_DE, Lewes_DE, Milford_DE, Milton_DE, Rehoboth Beach_DE, Ocean View, Millsboro, Dewey Beach","Land, luxury, Oceanfront, residential, resort, single family, vacation, waterfront, Buyer's agent, Seller's agent",,Debbie Reed,Delaware,0.0,1.0,14.797627231893935,37,5.0,8,1,10,0.9752359390258789,,1.0,0.9752359390258789,0.5558184422552586,0.5558184422552586,0.6111554503440857,0.6111554503440857,0.5252578910440207,0.5252578910440207,0.6107600554823875,0.6107600554823875,0.6066151708364487,0.6066151708364487,0.6258080899715424,0.6258080899715424,0.6065924912691116,0.6065924912691116,0.5472755543887615,0.5472755543887615,0.14285714285714285,0.0,0.0,0.0,28.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.5861603931989521,4.689283145591617,0.14285714285714285,0.26870441646585513,0.0,1.0,0.11635220125786164,0.006505576208178439,0.0,0.23684210526315788,0.9990857339009159,0.3785267751379879,0.14421796186441227
20377,4.92,53,0.55,4.92,4.9,4.92,4.92,155000,715000,11,36,53,4.9,46,38.03,"Greencastle_PA, Hagerstown_MD, Hancock_MD, Smithsburg_MD, Williamsport_MD, Waynesboro_PA, Boonsboro_MD, Keedysville_MD, Maugansville_MD, Rohrersville_MD, Cascade_MD, Myersville_MD, Middletown_MD, Maryland, Pennsylvania & West Virginia","relocation (CRP) & new construction., Specializing in residential sales, Residential, Farms & Land, New Construction, Residential Real Estate, Farms and Land, Buyer's agent, Seller's agent",,Shirley Bayer,Maryland,38.03,0.6451612903225806,13.235695634133526,11,4.915,15,1,9,0.8624134226937467,0.3013654856043536,53.0,0.9066072280824312,0.5759607524663772,30.525919880717993,0.6432060056699896,34.08991830050945,0.5589404512220941,29.623843914770987,0.6345798382359855,33.632731426507235,0.6162095387589257,32.65910555422306,0.6429956185649026,34.07876778393984,0.6145130534709062,32.56919183395803,0.5772349942686423,30.59345469623804,0.09973045822102426,0.006289308176100628,0.015723270440251572,0.015723270440251572,75.0754716981132,0.10691823899371068,0.1018867924528302,0.0,0.0,0.0,0.0,0.7684236373731707,0.607955031582228,4.863640252657824,0.1091644204851752,0.3332368871052782,0.7514325232167556,0.98,0.03459119496855346,0.013011152416356878,0.0,0.21052631578947367,0.9769607265952907,0.8381457111880559,0.0643833209328531
26165,5.0,1,,5.0,5.0,5.0,5.0,7500,19900000,102,0,1,5.0,22,37.77,"Henderson_NV, Las Vegas_NV, Sloan_NV, North Las Vegas_NV","buying, homes, investments, new, real estate, listings, land, luxury, custom, golf, gated, horse, realtor, residential, condos, townhomes, multi dwelling, single family residential, Serving All of Nevada",GRI,Rick Brenkus,Nevada,37.77,1.0,16.805853434774228,102,5.0,4,1,19,0.8845688700675964,,1.0,0.8845688700675964,0.5806405022740364,0.5806405022740364,0.7147204875946045,0.7147204875946045,0.608523853123188,0.608523853123188,0.7112793624401093,0.7112793624401093,0.6413044780492783,0.6413044780492783,0.7102345526218414,0.7102345526218414,0.6589565426111221,0.6589565426111221,0.6154123768210411,0.6154123768210411,0.0,0.0,0.0,0.0,85.0,0.3333333333333333,0.1,0.0,0.0,0.0,0.0,1.0,0.6551340194419026,5.241072155535221,0.0,0.43059417110854376,0.7462951985773564,1.0,0.32075471698113206,0.0027881040892193307,0.0,0.47368421052631576,0.9957383900408558,0.841394392063032,0.33959020148930963
30199,5.0,3,0.0,5.0,5.0,5.0,5.0,170000,3214200,107,226,3,5.0,30,38.28,"Media_PA, Newtown Square_PA, Paoli_PA, Chadds Ford_PA, Coatesville_PA, Downingtown_PA, Exton_PA, Glen Mills_PA, Kennett Square_PA, Malvern_PA, West Chester_PA, Chester Springs_PA, Glenmoore_PA, Newark_DE, Avondale_PA, Landenberg_PA, West Grove_PA, Lincoln University_PA, Oxford_PA, Wayne_PA, King of Prussia_PA, Valley Forge_PA, Phoenixville_PA, Honey Brook_PA, Elverson_PA, Norristown_PA, Mont Clare_PA, Spring City_PA, Pottstown_PA, Marcus Hook_PA, Aston_PA, Villanova_PA, Haverford_PA, Conshohocken_PA, Havertown_PA, Bryn Mawr_PA, Broomall_PA, Berwyn_PA, Devon_PA, Wallingford_PA, Swarthmore_PA, Wilmington_DE, Chester, Delaware and Montgomery Counties In PA","buyer agent, buying, listing, new, realtor, relocation, resale, seller agent, Investors, new construction, builders, Luxury, Listing Specialist, Property Marketing Specialist, Buyer Consultations and Education, Buyer's agent, Seller's agent",,Gary Mercer,Delaware,38.28,1.0,14.928749355814546,107,5.0,44,1,17,0.8744068145751953,0.1653739996252084,3.0,0.8744068145751953,0.5864624530076981,1.7593873590230942,0.6528338516751925,1.9585015550255775,0.5651391154776017,1.695417346432805,0.6100741674502691,1.8302225023508072,0.6430618266264597,1.9291854798793793,0.6284616738557816,1.8853850215673447,0.6245746687054634,1.8737240061163902,0.5783024032910665,1.7349072098731995,0.0,0.0,0.1111111111111111,0.0,112.0,0.16666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.8580936251551916,0.6111137700111915,4.888910160089533,0.1111111111111111,0.3903099357894071,0.7563722584469472,1.0,0.33647798742138363,0.039962825278810406,0.0,0.42105263157894735,0.9953632164034051,0.847644391656142,0.3507515060154357
43946,4.92,195,0.57,4.91,4.88,4.91,4.92,29900,3995000,109,512,195,4.9,186,,"Bethany Beach_DE, Georgetown_DE, Lewes_DE, Millsboro_DE, Milton_DE, Ocean View_DE, Rehoboth Beach_DE","Beach Property, Buyer or Seller Agent, Investment Property, Luxury Homes, Resort Property, Buyer's agent, Seller's agent",,Lee Ann Wilkinson,Delaware,0.0,0.6369426751592357,15.193042137814778,109,4.904999999999999,7,1,7,0.8928293591890579,0.24091432417320213,195.0,0.9237643787494072,0.5759172085624856,112.30385566968471,0.6619082278548143,129.07210443168879,0.5748559708515995,112.09691431606188,0.6281798075215939,122.4950624667108,0.613687063084963,119.66897730156779,0.6449199401701872,125.75938833318651,0.616247000086766,120.16816501691937,0.5754452452147141,112.21182281686924,0.0945054945054945,0.002564102564102564,0.036752136752136746,0.018803418803418803,80.08205128205128,0.14358974358974358,0.09435897435897438,0.0,0.0,0.0,0.0,0.8058574073325177,0.6113950579183904,4.8911604633471235,0.12869352869352868,0.34947128698837365,0.0,0.98,0.34276729559748426,0.0055762081784386614,0.0,0.15789473684210525,0.97800746617095,0.37133476641036606,0.3563259514350913
52048,5.0,8,0.0,5.0,5.0,5.0,5.0,385000,10000000,22,94,8,5.0,3,,"East Greenwich_RI, Newport_RI, North Kingstown_RI, Saunderstown_RI, Wakefield_RI, Narragansett_RI, Warwick_RI, Providence_RI","Great Homes in Great Locations, Counseling, Marketing, Relocation, Training, Waterfront","GRI, ABR, CIPS, CRS, AHWD, EPRO, GRN, SFR",Ron Phipps,Rhode Island,0.0,1.0,16.078835145013315,22,5.0,8,8,6,0.8222678229212761,0.33411711817361867,8.0,0.9006444662809372,0.5751687292940915,4.601349834352732,0.6735945176333189,5.388756141066551,0.5777925406582654,4.622340325266123,0.6408728808164597,5.126983046531677,0.611168454401195,4.88934763520956,0.668619466945529,5.348955735564232,0.6358498418703675,5.08679873496294,0.5597224733792245,4.477779787033796,0.10714285714285714,0.020833333333333332,0.020833333333333332,0.020833333333333332,140.25,0.1875,0.15000000000000002,0.0,0.0,0.0,0.0,0.7495593800407728,0.6178486131248064,4.9427889049984515,0.10714285714285714,0.41703188220159304,0.0,1.0,0.06918238993710692,0.006505576208178439,0.7,0.13157894736842105,0.9934382933239707,0.37940364904117047,0.10329649903915297
