,RandomForest,GradientBoosting,XGBoost,average_importance
professionalism_communication_mean,0.18056655011552722,0.27886932734571707,0.59655106,0.35199564604593964
experience_years_calc_normalized,0.228764796245469,0.1965222739257813,0.19580977,0.2070322789404834
review_rating_mean_normalized,0.13156797528951078,0.1825243289630506,0.016206823,0.11009970918065193
professional_competence_score,0.13113769097390324,0.08725551056655004,0.012556308,0.07698316982985969
experience_years_first,0.04659845922682279,0.0969754545735031,0.01930362,0.05429251122064289
client_satisfaction_score,0.09816326702729546,0.008358476330501886,0.015850453,0.04079073202133837
market_expertise_mean,0.017858001105204125,0.0024639894921735777,0.05893601,0.026419333881182963
transaction_volume_normalized,0.014079613502573161,0.026178937542017104,0.0,0.013419517014863422
market_expertise_score,0.017756532504999076,0.013022671783716635,0.006907284,0.012562162694283521
sentiment_score_mean,0.00842318965688079,0.02174024222565975,0.005550167,0.011904532980067916
agent_rating_first,0.02469359407442759,0.00023539485268801383,0.0069585023,0.010629163757300908
for_sale_price.count_first,0.013388801002592932,0.00489103056875778,0.010872863,0.009717564934813386
sentiment_score_count,0.0032130680416896608,0.002677834085141202,0.017565703,0.007818868382110213
negotiation_skills_mean,0.00796546649324463,0.01021433334323238,0.0037910515,0.007323617095864603
review_count_first,0.004580024280338869,0.0017968615154286445,0.01298333,0.006453405129967599
professionalism_semantic_score_sum,0.004175510903367679,0.011244706458164395,0.0023946695,0.005938295605979835
responsiveness_mean,0.011081560879408387,0.002419181632923122,0.0030068054,0.005502515981763967
negotiation_semantic_score_sum,0.004047741843694821,0.0065304318808860305,0.0012860174,0.003954730361271748
responsiveness_semantic_score_sum,0.0029850692559470916,0.007723281455680832,0.00040762915,0.00370532662107456
recently_sold.count_first,0.0037961145297789067,0.005194642410948387,0.0019441167,0.003644957868903001
communication_semantic_score_sum,0.002731869803143482,0.003955676088995173,0.0035065317,0.0033980258660728318
market_knowledge_semantic_score_sum,0.0030419663120116376,0.005876020794925863,0.0012517008,0.003389895968949905
reliability_semantic_score_sum,0.0031939447391284605,0.00580144041294626,2.438229e-05,0.003006589147550202
problem_solving_semantic_score_sum,0.004297983763024914,0.0046446969800238895,2.7094382e-05,0.002989925041665835
friendliness_semantic_score_sum,0.00469152069790038,0.0009953033959252604,0.0,0.0018956080312752133
market_knowledge_semantic_score_mean,0.0013283776165845171,0.002896377582918029,0.0003167341,0.0015138297683613211
for_sale_price.min_first,0.0013908405603845757,0.0008057711145788737,0.0010551352,0.0010839156112617966
negotiation_semantic_score_mean,0.0015167293826727573,0.0012597747027900236,6.718507e-05,0.0009478963858582261
responsiveness_semantic_score_mean,0.0009265199352724275,0.001233293167363923,8.545809e-05,0.0007484237297744968
recommendations_count_first,0.0017289855539093651,1.6756965287267002e-05,0.000207863,0.0006512018417075111
problem_solving_semantic_score_mean,0.0008494195498171553,0.0006252007719669881,0.00032575201,0.0006001241121813571
sentiment_confidence_mean,0.0008951814926223728,0.00010045711171603492,0.0007987086,0.0005981157296545606
professionalism_semantic_score_mean,0.0009313786408068073,0.0006267701188548492,0.0001387351,0.000565627950907202
market_coverage_normalized,0.00046202743993110327,0.0012044632614175944,0.0,0.0005554969004495659
specialization_count,0.0014432162927940776,7.006075233517429e-05,0.00011666482,0.0005433139556062449
market_coverage,0.0013871049020317012,1.829604216123807e-05,0.00019802229,0.0005344744106658576
review_length_mean,0.0010050999441028052,0.0003563413135575828,0.00020158726,0.0005210095057711374
review_rating_std,0.0013793067428358584,0.0,9.6415926e-05,0.0004919075563575059
sentiment_consistency,0.0013544449410611867,4.539890966923541e-05,1.9738027e-05,0.0004731939591840972
sentiment_score_std,0.0009108299481073788,1.04662194061259e-06,0.0004086892,0.0004401885901534911
reliability_semantic_score_mean,0.0004856887453531668,0.0007413931885557867,1.9945219e-05,0.0004156757175729446
for_sale_price.max_first,0.0008204385322420348,0.00012129273041067274,0.00027355357,0.0004050949432975741
communication_semantic_score_mean,0.0006523961164980721,6.611640614431603e-05,0.000495158,0.0004045568473726757
price_range_expertise,0.0007925770283735381,1.4450839520305911e-05,0.00013524428,0.00031409071522180214
certification_count_normalized,0.00010428079356823429,0.0008027819385170063,0.0,0.00030235424402841354
emotional_balance,0.00032824873108199383,0.000515568765329412,5.1448e-05,0.0002984218326750045
satisfaction_score_mean,0.0003758807855443902,0.0,0.0005176306,0.00029783712863828564
specialization_count_normalized,0.0008703163961754045,1.3721236274887043e-05,0.0,0.0002946792108167639
rating_consistency,0.0007751937956889208,5.07122127302897e-05,0.0,0.0002753020028064035
review_quality_score,0.0007921997806408519,1.7742761171517328e-06,1.9244992e-05,0.00027107301610701046
friendliness_semantic_score_mean,0.0007112613852692953,4.325428690291855e-05,2.3311099e-05,0.00025927559026742944
enthusiasm_score_mean,0.0004431064992059624,5.033508721053237e-06,0.00023326087,0.000227133626318204
frustration_score_mean,0.0003323883721515718,3.5537190958127534e-05,0.00027911397,0.00021567984452459826
skill_mentions_density,0.00038717152213960847,0.00019484050783572315,2.4075494e-05,0.00020202917478048249
specificity_score_mean,0.000543954658963819,4.156953320787788e-06,2.8366567e-05,0.00019215939301708078
overall_skill_competency,0.0004886415420131954,7.187417588989504e-06,6.315667e-05,0.00018632854409912365
review_depth_score_mean,0.00046966266767434087,3.3918447323455536e-07,4.352146e-05,0.0001711744375863162
urgency_score_mean,0.00023543148979459098,8.262132563007748e-06,3.401677e-05,9.25701313453929e-05
certification_count,8.13859468019122e-05,1.520162140628297e-06,3.0348267e-05,3.7751458511286154e-05
mentions_time_period_sum,0.0,0.0,0.0,0.0
mentions_location_sum,0.0,0.0,0.0,0.0
mentions_company_sum,0.0,0.0,0.0,0.0
mentions_agent_name_sum,0.0,0.0,0.0,0.0
