advertiser_id,review_id,rating,comment,display_name,describe_yourself,location,year,transaction_date,started_timestamp,source_id,responsiveness,negotiation_skills,professionalism_communication,market_expertise,link,reply
3322174,2e598706-de90-466a-af79-a997cba17fd7,5.0,"We enjoyed working with Michelle enormously.  She was very professional and responsive to our needs.  Her suggestions and follow thru were spot on. We would, and do, recommend her highly.",Cathy,SELLER,"Wasilla, AK",2019,,2019-06-26T19:45:46.956Z,RDC,5.0,5.0,5.0,5.0,,
3704659,9522c15d-5252-4630-96b8-348a85cc0a37,5.0,"Rachel provides the best service in representing you. She started with a solid marketing plan and implemented it clearly! 

She got the best price for our home in a competitive market! I highly recommend her!",Don,SELLER,"Wasilla, AK",2023,,2023-08-30T10:56:57,RDC,5.0,5.0,5.0,5.0,,
3704659,8eae5d62-8913-449d-b8d8-36f4489750f1,5.0,Rachel was an amazing realtor. She was very responsive to all our needs and always acted quickly. She was able to get us into our home under the exact conditions and price that we wanted. Couldn't ask for anything more! ,Ed,BUYER,"Palmer, AK",2023,,2023-06-14T08:15:37,RDC,5.0,5.0,5.0,5.0,,
74491,1965bf8c-2ab0-4fdc-91e9-d44cd01e3b76,5.0,Jessica was there for any questions I had.  100% class through the whole process!,Troy Christenson,SELLER,"Anchorage, AK",2018,,2019-03-08T03:58:48.741Z,RDC,5.0,5.0,5.0,5.0,,
74491,3021ed38-4112-47de-a381-804b2c33149b,5.0,"My wife and I, knew we wanted to buy a home and we had very hard standards on what loan we wanted to use, the area we wanted to be in, and type of house we were looking for. Jessica went out of her way to understand the parameters of the 100% financing loan we wanted to use. She spent countless hours showing us homes that would fit these guidelines. We were so happy that Jessica was able to find us our starter dream house. She even went above and beyond with the lender when she thought we were not being treated right. We later found out that she called an executive of the national financing company to make sure her clients were treated correctly. I can not explain how much our transaction with Jessica meant to us. She is now not only Our Realtor For Life, but is a dear friend for life as well. Jessica goes above and beyond for all of her clients. I would recommend her to anyone!",Cody O'NEal,BUYER,"Anchorage, AK",2017,,2017-12-15T20:01:17.093Z,RDC,5.0,5.0,5.0,5.0,,
100255586,78f5a9f4-b63f-4aa0-ad49-0d3bb96a163e,5.0,"Max was an amazing real estate agent for us and we highly recommend him. If we ever need a real estate agent again in Homer he will definitely be the one we reach out to. 

He was recommended to us from a previous real estate agent we worked with, after he moved out of the area, and could no longer be our agent. I think that says a lot. He could have easily referred us to another agent. 

Max was very kind and incredibly responsive to us in our 2 year plus search looking for our perfect piece of property. There is nothing about Max, or about the process working with him, we’d change. ",Heidi,BUYER,"Seattle, WA",2024,,2024-07-21T13:05:25,RDC,5.0,5.0,5.0,5.0,,
4851398,042cbf08-51d0-4d72-be17-02fc1362891d,5.0,"Christina was an amazing help, got to Anchorage on a Friday morning, Friday afternoon, she meet us to look at a couple of places for my adopted mom. We found one and the process began. Being in Washington state, Christina was in contact with me to help with the process of buying a home. She is 1000% involved with the whole transaction and the sale was completed,  thanks again for being a rockstar.",Tia,BUYER,"Anchorage, AK",2024,,2024-05-31T15:40:46,RDC,5.0,5.0,5.0,5.0,,
4851398,27360f68-2016-4feb-9dfd-4eaf3b1f75cb,5.0,Christina had worked diligently and efficiently on the purchase of our home.  She tirelessly supported our efforts to ensure that we were able to get the best possible outcome of the purchase of our home.  We truly appreciate the opportunity to work with her and will definitely use her services again when need arises.  Thank you Christina.  ,Helen Ramondos,BUYER,"Anchorage, AK",2023,,2024-05-14T17:32:42,RDC,5.0,5.0,5.0,5.0,,
4851398,3e6de451-1072-440d-8c05-5ed0bea08064,5.0,"Working with Christina Edenshaw as my realtor was an absolute pleasure. Her professionalism expertise, and dedication were evident throughout the entire process. Christina went above and beyond to ensure that every aspect of my home selling experience was smooth and stress-free.  She provided invaluable guidance, promptly addressed any concerns,  and always had my best interest at heart. Her knowledge of the market and negotiation skills were impressive, resulting in a fantastic outcome.  I whole heartedly recommend Christina Edenshaw to anyone in need of a top-notch realtor. 
Thank you, Christina, for your exceptional service! ",Genaro Rodriguez Sr.,SELLER,"Anchorage, AK",2024,,2024-05-14T16:23:03,RDC,5.0,5.0,5.0,5.0,,
4851398,9ea37711-6243-45c7-8b26-b2cc0697484d,5.0,"Christina was WONDERFUL to work with!  We viewed a property online with specific needs and anticipations in mind related to our retirement years.  Soon after, we met Christina.  In a very understated way, she went all out to ensure that the home went beyond meeting our expectations.  She enthusiastically shared ideas to help us envision what we could create to customize and beautify our home and property and, as we work to fulfill many of those ideas, it continually gives us a sense of satisfaction and pride that will last, well into the future.  Her expertise was invaluable!  Christina worked diligently and encompassed her resources to work out potential and usual hurdles to make the experience a very smooth and pleasant process!  We've been in the property for just over a year now and as we continue towards that vision of having our perfect home and enjoying our retirement, we know that Christina was literally the one to ""bring it all home!"" for us!  Thank you Christina!  You are truly the ""best of the best!""  -Mic and Janice Silva",Francis-Michel Silva,BUYER,"Anchorage, AK",2022,,2023-08-07T10:19:27,RDC,5.0,5.0,5.0,5.0,,
4245304,121de8a4-e511-42ef-b83b-0f7d15c30f0d,5.0,"I needed to sell my house.  Katie was recommended to me by a friend, and that recommendation proved phenomenal.  Katie was great, in that she worked directly and closely with me -- realizing my work schedule and some family commitments complicated things for me.  She even negotiated phenomenally well on my behalf with the sellers' agents.  Stated simply, Katie was awesome and I cannot come up with enough superlatives for her and the job she did here.","Christopher Orman, Juneau, AK",SELLER,"Matanuska-susitna Borough, AK",,2024-02-20,2024-02-22T05:22:25Z,RS,5.0,5.0,5.0,5.0,,
4245304,02644831-34fc-4fc3-9c59-c2fa62d90779,5.0,N/A,verified client,BUYER,"Matanuska-susitna Borough, AK",,2024-02-09,2024-02-09T16:31:29Z,RS,5.0,5.0,5.0,5.0,,
4245304,a7c33288-69af-4ec6-af48-061cdf36a614,5.0,Katie rocks!!!,"Grant & Rachel Sullivan, wasilla, ak",BUYER,"Wasilla, AK",,2024-01-28,2024-01-28T12:03:17Z,RS,5.0,5.0,5.0,4.0,,
4245304,874d34e6-9e25-4d41-8714-aa1b53f97a26,5.0,"Katie was very attentive to my needs. She negotiated hard and got the house with multiple offers on the table. Her communication is excellent and always in a timely fashion. She's energetic and is exactly what I wanted in a Realtor!!! She has the ""I got you"" attitude and drive! I can't recommend Katie enough!!","Veronica Schaefer, Big Lake Alaska",BUYER,"Big Lake, AK",,2024-01-19,2024-01-19T12:29:24Z,RS,5.0,5.0,5.0,5.0,,
4245304,6e47556b-5ac2-49f0-90b4-b78eabd3f6ee,5.0,Katie Hotchkiss was really easy to communicate with and I felt like she understood my needs and wants in a property. She was very accomidating with her schedule when it came to showing properties and was always on the lookout for places that she thought I would be interested in seeing. Im probably not the easiest client that she has worked with but she was always very patient and professional.,"Linda Engst, Palmer, AK",BUYER,"Matanuska-susitna Borough, AK",,2024-01-07,2024-01-09T13:26:39Z,RS,5.0,5.0,5.0,5.0,,
4245304,258daafd-ed0c-41d6-938b-23cabb9dde1f,5.0,Katie's positive attitude and enthusiastic approach was refreshing. Just from the rental interaction with her (coming from WA state) we knew she would be the right person to find us the Alaska home of our dreams.,"Angela Reid, Wasilla",BUYER,"Wasilla, AK",,2023-10-05,2023-10-06T14:20:35Z,RS,5.0,5.0,5.0,5.0,,
4245304,79146d68-cac7-4f43-85d5-76a54f7b5cd7,5.0,N/A,verified client,BUYER,"Wasilla, AK",,2023-10-05,2023-10-05T12:22:05Z,RS,5.0,5.0,5.0,5.0,,
4245304,dbced480-7d31-42b3-966c-7124a4a59e1a,5.0,N/A,verified client,SELLER,"Palmer, AK",,2023-10-05,2023-10-05T12:20:08Z,RS,5.0,5.0,5.0,5.0,,
4245304,b2d88ec4-6759-42d3-999d-6dab5a7cf0cb,5.0,N/A,verified client,SELLER,"Anchorage, AK",,2023-10-05,2023-10-05T08:48:38Z,RS,5.0,5.0,5.0,5.0,,
4245304,40c6464c-b4b6-49c6-b2a1-c854622a06b4,5.0,Katie goes above and beyond for her clients. Working with her as a power team not only helps me with my deals but also with my clients as well. Highly recommended!,Lucas Adams,BUYER,"Wasilla, AK",2022,,2022-12-07T08:58:55,RDC,5.0,5.0,5.0,5.0,,
4245304,c4e2f910-07b3-4d5d-a89d-65f655b28846,5.0,"I cannot express my appreciation enough for the superb service that I received from Katie Hotchkiss during my purchase. Her help and guidance allowed me to purchase property in Alaska without needing to leave Ohio. She was there every step of the process, always answering questions and returning detailed information for me about each property I had interest in. She gained my full trust from the first communication, and maintained that throughout the negotiation and sale. Buying property in a different state can be a daunting task, especially considering the possibility of being scammed. Katie's help and expertise made it a comfortable, easy process and I definitely plan to purchase through her again in the future.","Mark, OH, to AK",BUYER,"Matanuska-susitna Borough, AK",,2022-10-26,2022-10-27T07:21:46Z,RS,5.0,5.0,5.0,5.0,,
4245304,507f2a26-1bf3-4166-955a-a709c615da61,5.0,Katie was amazing during our home buying process. She was always on the ball and made things easy for us!,"Sharon Cooper, Wasilla Ak",BUYER,"Matanuska-susitna Borough, AK",,2022-10-26,2022-10-26T15:46:49Z,RS,5.0,5.0,5.0,5.0,,
4245304,11c753cd-7b5d-4658-8945-49f1fcc71de7,5.0,"Quick responses, honest, trustworthy,  and super communication ",Kaelynn nelson 1051 e seldon ,BUYER,"Matanuska-susitna Borough, AK",,2022-10-26,2022-10-26T14:33:50Z,RS,5.0,5.0,5.0,5.0,,
4245304,16ebfcd1-8460-4ccb-8f93-32b4ca0c0b56,5.0,"We were searching for a home in Alaska to make a move from California. After spending time combing through online resources, we found a few properties we wanted to take a look at. After contacting Katie Hotchkiss, we were able to see multiple properties quickly. She helped us get in contact with a mortgage broker and we were able to get a home we were happy with. Katie was always available when we had questions and kept us up to date on the purchase of our home.","Michelle Bruntz, Wasilla",BUYER,"Matanuska-susitna Borough, AK",,2022-09-22,2022-09-29T07:37:37Z,RS,5.0,5.0,5.0,4.0,,
4245304,ab23b541-e71e-49bd-b8f2-23530efd99b1,5.0,"Katie is amazing. Responsive to text, email and phone calls no matter the time of day. She was completely transparent with communication and gave exceptional advice and made sure I was fully aware of all options. Definitely look forward to working with her again in the future. ","Karen Deardorff, Wasilla",BUYER,"Matanuska-susitna Borough, AK",,2022-09-22,2022-09-22T14:38:31Z,RS,5.0,0.0,5.0,5.0,,
4245304,bb5b7afb-087b-4f2c-bc8a-16bfec95e048,5.0,"Katie Hotchkiss was great to work with! She was an excellent communicator, and very responsive. She showed us houses according to our wants, needs and budget and she was patient until we found the right home! If she ever wasn’t sure about something she would double check and get us the answer we needed, which we really appreciated. ","Sarah Deardorff, Wasilla",BUYER,"Wasilla, AK",,2022-03-12,2022-03-15T06:35:29Z,RS,5.0,4.0,4.0,4.0,,
4245304,273eefd3-b975-4d69-bffe-c749b3b7cb90,5.0,N/A,verified client,BUYER,"Wasilla, AK",,2022-03-12,2022-03-13T03:17:05Z,RS,4.0,5.0,5.0,5.0,,
4245304,ed16e23e-a384-4220-b871-c04509be55b5,5.0,"Katie is customer friendly, quick to respond to any questions or concerns . She completes her tasks in a timely and professional manor .
I will use her in the future and recommend her to my friends.",Jonnie Lynch Eagle River,SELLER,"Anchorage, AK",,2022-03-12,2022-03-12T12:56:01Z,RS,5.0,5.0,5.0,5.0,,
4245304,b11b0b94-eac2-483e-aaf6-01dc2ff3808a,5.0,I tried several different  agents trying to get info on property with no luck- Katie was most importantly communicative and helped ease the process,Gary Wasilla ak ,BUYER,"Wasilla, AK",,2022-03-12,2022-03-12T07:21:09Z,RS,5.0,5.0,5.0,5.0,,
4245304,869948cd-7262-4e63-9156-f2e1a5ad3006,5.0,"Smart, driven and focused are just some of the words that describe the abilities of Ms. Hotchkiss.  I was going thru a very turbulent time in my life (major transition).  Katie helped me find the home I needed in order to put my life back on track.  

She also was present when ever we met.  Despite her youth she displayed incredible maturity and knowledge that I would expect of a much more experienced broker.  

It was a pleasure to work with her.  She is my go to for any future home purchases or sales. 

Respectfully,

Jason Gentile
Lieutenant Colonel, Infantry
US Army (retired)","Jay Gentile, Eagle River AK",BUYER,"Eagle River, AK",,2022-01-11,2022-01-20T04:41:52Z,RS,5.0,4.0,5.0,5.0,,
4245304,7572c6f1-9212-492d-85c6-6fc6b76ce183,5.0,"We enjoyed working with Katie Hotchkiss on the purchase of our home, she was professional, efficient and organized! Highly recommend, thank you Katie! ",Jaden & Jenny K ,BUYER,"Wasilla, AK",,2021-10-28,2021-10-28T06:45:44Z,RS,5.0,4.0,4.0,5.0,,
4245304,d297c262-b9a3-48ea-a3c4-04ad80d4ab7e,5.0,"She is knowledgeable, friendly, professional, and will walk a client through the process.  I was expecting that it would take longer than it did, and my stress level throughout the process was very low due to her great Communication skills about the progress of the purchase.  I can’t sing her praises enough!!! ","April Cheek, Wasilla AK",BUYER,"Wasilla, AK",,2021-10-08,2021-10-08T05:02:11Z,RS,5.0,5.0,5.0,5.0,,
4245304,2f43584b-d811-43ff-b25c-331e9fcc1923,5.0,N/A,verified client,BUYER,"Wasilla, AK",,2021-09-18,2021-09-18T10:00:59Z,RS,5.0,5.0,5.0,5.0,,
610803,df9df4f2-f91e-4fcb-8f54-12ee00cd384e,5.0,"Gina is the best agent I’ve ever experienced. I’ve worked with many other agents that were good also, but Gina is number one out of all. She’s very responsive. She’s able to communicate in a way that is very clear and effective for people who don’t quite understand the intimidating language of agents. She also has great connections with people in her area that are helpful for all other areas of homeownership. Every single one of her referrals for other services related to homeownership, we used and were very satisfied with their craftsmanship. I’d give Gina ten stars if this review would allow it. I wish I could use Gina in the rest of the 49 states.",Peter David Roa,BUYER,"Kasilof, AK",2025,,2025-09-05T00:31:18.619Z,RDC,5.0,5.0,5.0,5.0,,
610803,9ab23adc-1ca6-41e4-bc63-aebd8951049b,5.0,Gina and her team went above and beyond to get our property sold   Gina's expertise and zeal got the job done and supported the process at every step.  Thank you for everything! ,Kevin Dee,SELLER,,2025,,2025-07-22T19:19:44,RDC,5.0,5.0,5.0,5.0,,
610803,9f9d6936-6779-4ab3-949c-ab9e48d60262,5.0,"I highly recommend Gina if you are looking to sell or buy unique properties in Alaska. Her professionalism, communication and clarity made my transaction seamless and quick. I will definitely be calling on her for my next Alaskan property search!",Marc Collins,SELLER,"Ketchikan, AK",2025,,2025-06-30T17:15:08,RDC,0.0,0.0,5.0,5.0,,
610803,80d51779-de17-457a-959d-df7317f78e2d,5.0,"Gina really went above and beyond in helping my Mom sell her house. We literally couldn’t have asked for a better realtor. She is a long time local, trustworthy, catered to our needs, responsive, fast acting, knowledgeable and had great advice; all of which helped us get a great price for the house. Our house sold quickly.",Deb,SELLER,,2025,,2025-06-29T21:48:36,RDC,5.0,5.0,5.0,5.0,,
610803,436b642c-5c51-4fef-83b2-508a26e72ae0,5.0,"This lady went above and beyond the call of duty  both times for me. Not only as a  realtor but she became a very dear friend in the process.
She kept me informed every step of the way and never made me feel unsure about anything. 
She is a real go getter. The only one you want on your team. 😎

",Angel,BUYER,"Nikiski North Kenai, AK",2025,,2025-06-24T12:25:08,RDC,5.0,5.0,5.0,5.0,,
610803,ead47ff8-6d8b-4dfc-9c89-0f63d4d21cf9,5.0,Gina has been my go to problem solver for years.   My property has unique issues and considerations that gina handled quickly and efficiently.   I recommend Gina to any one selling a home or searching for one,Jay,SELLER,"Homer, AK",2025,,2025-06-16T15:24:44,RDC,5.0,5.0,5.0,5.0,,
610803,1ed75c63-906e-437b-9f1b-efde3cf299b8,5.0,"Gina is fabulous! She was extremely friendly, knowledgeable, and responsive through the entire process. We couldn't have asked for more!",Matt S,BUYER,,2025,,2025-06-08T18:08:15,RDC,5.0,5.0,5.0,5.0,,
610803,5b34178f-3c69-4ea9-a6ba-921711f8a595,5.0,Gina was very professional and attending. She did a great job. ,Berookhim,SELLER,,2025,,2025-06-08T13:37:19,RDC,5.0,5.0,5.0,5.0,,
610803,b4ae1ed3-8844-4957-89c3-46a0e6ad632e,5.0,Gina was a great help in selling my property. Very professional  and attentive. ,Jim Berookhim,SELLER,,2025,,2025-05-03T13:53:55,RDC,5.0,5.0,5.0,5.0,,
610803,66edc43b-5d78-46c1-bce0-c7504580798b,5.0,She always gets back to us right away. Gina is very knowledgeable on everything related to real estate and people that can help.,Mezack,BUYER,"Soldotna, AK",2024,,2024-11-23T12:18:16,RDC,5.0,5.0,5.0,5.0,,
