iter	Passed	Remaining
0	37	37081
1	76	38268
2	112	37393
3	146	36550
4	184	36635
5	219	36313
6	253	35972
7	287	35649
8	323	35568
9	356	35306
10	392	35293
11	426	35126
12	461	35070
13	495	34914
14	538	35367
15	579	35648
16	617	35733
17	666	36346
18	707	36548
19	741	36329
20	774	36120
21	807	35916
22	847	36011
23	889	36173
24	924	36055
25	966	36200
26	1002	36113
27	1038	36039
28	1073	35949
29	1113	36010
30	1150	35970
31	1188	35962
32	1229	36031
33	1264	35919
34	1298	35810
35	1336	35784
36	1370	35658
37	1404	35565
38	1438	35452
39	1472	35341
40	1507	35262
41	1552	35400
42	1592	35449
43	1627	35350
44	1665	35337
45	1702	35298
46	1744	35379
47	1782	35351
48	1825	35435
49	1860	35341
50	1893	35242
51	1930	35196
52	1965	35112
53	1998	35009
54	2031	34906
55	2065	34818
56	2101	34760
57	2133	34655
58	2169	34602
59	2203	34518
60	2235	34417
61	2271	34363
62	2303	34260
63	2340	34223
64	2383	34283
65	2415	34185
66	2451	34142
67	2486	34079
68	2522	34038
69	2564	34071
70	2598	34004
71	2633	33937
72	2673	33947
73	2713	33949
74	2745	33855
75	2778	33777
76	2814	33741
77	2846	33645
78	2881	33589
79	2912	33497
80	2944	33408
81	2989	33471
82	3039	33580
83	3074	33529
84	3106	33445
85	3146	33442
86	3181	33384
87	3214	33315
88	3255	33325
89	3271	33083
90	3297	32936
91	3317	32741
92	3358	32753
93	3384	32618
94	3422	32607
95	3458	32565
96	3498	32569
97	3524	32438
98	3559	32399
99	3595	32356
100	3627	32287
101	3661	32235
102	3701	32232
103	3730	32137
104	3766	32106
105	3798	32038
106	3848	32120
107	3897	32190
108	3914	31999
109	3957	32023
110	3990	31962
111	4013	31818
112	4045	31757
113	4063	31577
114	4095	31513
115	4140	31552
116	4175	31515
117	4191	31332
118	4231	31331
119	4252	31187
120	4298	31229
121	4323	31115
122	4349	31010
123	4375	30908
124	4399	30795
125	4424	30688
126	4463	30681
127	4488	30575
128	4508	30442
129	4528	30308
130	4545	30150
131	4579	30111
132	4612	30066
133	4646	30027
134	4676	29963
135	4688	29785
136	4720	29738
137	4745	29640
138	4780	29610
139	4795	29456
140	4827	29407
141	4867	29408
142	4906	29405
143	4940	29368
144	4979	29364
145	5012	29322
146	5044	29271
147	5076	29222
148	5102	29143
149	5138	29118
150	5180	29129
151	5219	29121
152	5235	28983
153	5256	28874
154	5289	28835
155	5322	28797
156	5355	28754
157	5387	28708
158	5411	28623
159	5450	28616
160	5486	28590
161	5510	28502
162	5541	28455
163	5572	28408
164	5596	28321
165	5631	28295
166	5663	28248
167	5693	28194
168	5728	28168
169	5748	28068
170	5789	28069
171	5818	28011
172	5847	27953
173	5880	27916
174	5912	27872
175	5943	27824
176	5976	27790
177	6012	27765
178	6046	27730
179	6071	27658
180	6110	27648
181	6146	27627
182	6173	27560
183	6192	27462
184	6228	27437
185	6244	27329
186	6280	27306
187	6320	27301
188	6360	27293
189	6393	27254
190	6429	27233
191	6466	27213
192	6482	27104
193	6521	27092
194	6553	27053
195	6587	27023
196	6613	26957
197	6640	26899
198	6668	26842
199	6702	26809
200	6736	26776
201	6769	26741
202	6798	26691
203	6817	26603
204	6852	26572
205	6884	26537
206	6925	26532
207	6967	26531
208	6999	26490
209	7030	26448
210	7068	26431
211	7100	26392
212	7131	26350
213	7161	26304
214	7182	26223
215	7222	26216
216	7247	26151
217	7268	26071
218	7300	26033
219	7319	25950
220	7348	25903
221	7376	25849
222	7412	25827
223	7445	25792
224	7481	25770
225	7498	25679
226	7530	25642
227	7569	25629
228	7586	25543
229	7622	25518
230	7638	25430
231	7668	25384
232	7685	25300
233	7717	25262
234	7749	25225
235	7765	25138
236	7780	25049
237	7796	24962
238	7830	24931
239	7870	24923
240	7907	24902
241	7922	24813
242	7937	24726
243	7971	24698
244	8003	24664
245	8056	24692
246	8095	24679
247	8126	24642
248	8165	24627
249	8181	24544
250	8219	24528
251	8251	24492
252	8280	24448
253	8316	24426
254	8356	24413
255	8381	24357
256	8419	24340
257	8454	24314
258	8493	24299
259	8544	24318
260	8569	24264
261	8596	24214
262	8628	24180
263	8660	24143
264	8692	24109
265	8725	24076
266	8761	24052
267	8793	24017
268	8819	23966
269	8867	23976
270	8901	23945
271	8925	23889
272	8968	23882
273	9000	23849
274	9033	23814
275	9066	23782
276	9085	23714
277	9105	23648
278	9127	23587
279	9147	23523
280	9171	23467
281	9192	23404
282	9217	23353
283	9243	23303
284	9263	23239
285	9286	23184
286	9314	23140
287	9339	23088
288	9379	23074
289	9416	23053
290	9449	23022
291	9475	22974
292	9494	22911
293	9515	22851
294	9545	22812
295	9566	22751
296	9595	22711
297	9615	22652
298	9635	22590
299	9669	22561
300	9689	22502
301	9729	22487
302	9755	22440
303	9775	22380
304	9808	22350
305	9834	22305
306	9855	22247
307	9881	22201
308	9915	22172
309	9939	22123
310	9959	22064
311	9980	22008
312	10013	21978
313	10033	21920
314	10053	21862
315	10077	21813
316	10102	21766
317	10122	21709
318	10164	21698
319	10183	21640
320	10209	21595
321	10255	21593
322	10284	21556
323	10318	21528
324	10337	21470
325	10358	21416
326	10385	21373
327	10406	21320
328	10432	21277
329	10462	21241
330	10490	21203
331	10518	21163
332	10539	21110
333	10565	21067
334	10585	21013
335	10617	20982
336	10641	20934
337	10666	20890
338	10687	20838
339	10712	20795
340	10732	20741
341	10758	20699
342	10783	20654
343	10807	20610
344	10833	20567
345	10859	20525
346	10879	20473
347	10904	20430
348	10937	20402
349	10966	20365
350	10988	20318
351	11013	20275
352	11058	20269
353	11083	20226
354	11104	20176
355	11129	20133
356	11150	20082
357	11174	20039
358	11199	19996
359	11218	19944
360	11244	19903
361	11277	19875
362	11297	19825
363	11318	19775
364	11357	19759
365	11399	19747
366	11423	19703
367	11448	19662
368	11473	19619
369	11503	19586
370	11534	19556
371	11559	19515
372	11584	19473
373	11609	19432
374	11633	19389
375	11658	19348
376	11683	19307
377	11721	19287
378	11746	19247
379	11780	19221
380	11822	19207
381	11849	19170
382	11880	19139
383	11901	19091
384	11933	19062
385	11946	19003
386	11978	18972
387	12000	18928
388	12045	18919
389	12078	18891
390	12102	18849
391	12125	18806
392	12145	18759
393	12170	18718
394	12190	18670
395	12210	18624
396	12231	18577
397	12249	18528
398	12273	18487
399	12298	18447
400	12314	18394
401	12335	18349
402	12360	18310
403	12397	18289
404	12418	18244
405	12445	18208
406	12460	18155
407	12480	18109
408	12499	18061
409	12519	18015
410	12543	17975
411	12564	17931
412	12589	17894
413	12606	17843
414	12621	17792
415	12654	17764
416	12670	17714
417	12702	17685
418	12722	17641
419	12753	17611
420	12774	17568
421	12789	17517
422	12810	17474
423	12832	17432
424	12857	17395
425	12877	17350
426	12902	17313
427	12922	17270
428	12942	17227
429	12963	17184
430	12986	17144
431	13003	17097
432	13023	17053
433	13047	17015
434	13064	16968
435	13088	16931
436	13128	16913
437	13148	16871
438	13172	16833
439	13185	16781
440	13201	16734
441	13218	16687
442	13238	16645
443	13257	16601
444	13269	16549
445	13285	16502
446	13304	16459
447	13320	16412
448	13340	16371
449	13369	16340
450	13392	16302
451	13413	16261
452	13436	16225
453	13456	16183
454	13472	16137
455	13488	16091
456	13508	16050
457	13531	16013
458	13560	15982
459	13581	15943
460	13605	15907
461	13628	15870
462	13649	15831
463	13669	15791
464	13689	15749
465	13716	15718
466	13737	15678
467	13757	15639
468	13773	15593
469	13796	15557
470	13827	15529
471	13843	15486
472	13856	15438
473	13894	15418
474	13918	15384
475	13957	15364
476	13990	15339
477	14029	15321
478	14062	15295
479	14079	15252
480	14099	15213
481	14119	15173
482	14139	15134
483	14155	15091
484	14175	15052
485	14196	15014
486	14222	14981
487	14239	14939
488	14260	14901
489	14280	14863
490	14311	14836
491	14333	14799
492	14358	14766
493	14378	14727
494	14399	14689
495	14414	14647
496	14427	14601
497	14439	14555
498	14453	14511
499	14478	14478
500	14492	14434
501	14525	14409
502	14550	14376
503	14568	14337
504	14600	14310
505	14636	14289
506	14672	14267
507	14698	14235
508	14741	14220
509	14763	14184
510	14805	14168
511	14846	14150
512	14889	14135
513	14929	14116
514	14961	14089
515	14992	14062
516	15037	14048
517	15061	14014
518	15094	13989
519	15114	13952
520	15162	13940
521	15207	13925
522	15245	13904
523	15264	13866
524	15290	13834
525	15311	13797
526	15332	13761
527	15366	13736
528	15405	13716
529	15443	13694
530	15476	13669
531	15509	13644
532	15541	13616
533	15561	13579
534	15592	13552
535	15612	13515
536	15651	13494
537	15682	13466
538	15714	13440
539	15746	13413
540	15766	13377
541	15797	13349
542	15828	13321
543	15857	13292
544	15898	13272
545	15924	13241
546	15958	13215
547	15990	13189
548	16029	13168
549	16068	13147
550	16102	13121
551	16127	13088
552	16146	13051
553	16188	13032
554	16221	13006
555	16250	12976
556	16274	12943
557	16305	12916
558	16338	12889
559	16364	12858
560	16397	12831
561	16429	12804
562	16468	12782
563	16499	12755
564	16542	12736
565	16574	12708
566	16589	12669
567	16626	12645
568	16662	12621
569	16700	12598
570	16736	12574
571	16772	12550
572	16788	12510
573	16820	12483
574	16839	12446
575	16883	12428
576	16917	12402
577	16931	12361
578	16944	12320
579	16961	12282
580	16994	12255
581	17011	12217
582	17028	12179
583	17061	12153
584	17092	12125
585	17108	12086
586	17124	12048
587	17141	12010
588	17159	11973
589	17192	11947
590	17211	11911
591	17239	11881
592	17266	11851
593	17300	11824
594	17333	11798
595	17365	11771
596	17397	11744
597	17424	11713
598	17446	11679
599	17473	11649
600	17506	11622
601	17544	11599
602	17568	11566
603	17599	11539
604	17619	11503
605	17645	11472
606	17680	11447
607	17709	11418
608	17742	11391
609	17771	11361
610	17805	11335
611	17839	11309
612	17861	11276
613	17898	11252
614	17932	11225
615	17990	11215
616	18012	11180
617	18050	11157
618	18085	11131
619	18105	11096
620	18140	11071
621	18178	11047
622	18194	11010
623	18228	10983
624	18253	10952
625	18283	10923
626	18314	10895
627	18343	10865
628	18374	10837
629	18389	10800
630	18423	10773
631	18442	10738
632	18477	10713
633	18497	10678
634	18518	10644
635	18535	10608
636	18583	10590
637	18611	10560
638	18651	10536
639	18671	10502
640	18702	10474
641	18718	10438
642	18734	10401
643	18749	10364
644	18769	10330
645	18790	10296
646	18834	10275
647	18874	10252
648	18906	10225
649	18931	10193
650	18964	10166
651	18983	10132
652	19019	10106
653	19050	10078
654	19069	10044
655	19091	10011
656	19110	9976
657	19169	9963
658	19189	9929
659	19209	9895
660	19240	9867
661	19259	9833
662	19293	9806
663	19327	9780
664	19361	9753
665	19395	9726
666	19429	9700
667	19462	9672
668	19498	9647
669	19540	9624
670	19590	9605
671	19614	9573
672	19657	9551
673	19692	9524
674	19725	9497
675	19763	9472
676	19796	9444
677	19830	9417
678	19878	9397
679	19910	9369
680	19938	9339
681	19973	9312
682	20025	9294
683	20060	9267
684	20100	9243
685	20132	9215
686	20166	9188
687	20204	9162
688	20241	9136
689	20278	9110
690	20293	9074
691	20335	9050
692	20369	9023
693	20405	8997
694	20446	8972
695	20478	8944
696	20516	8918
697	20554	8893
698	20587	8865
699	20642	8846
700	20675	8818
701	20710	8791
702	20746	8764
703	20788	8740
704	20841	8720
705	20874	8692
706	20908	8664
707	20946	8638
708	20984	8612
709	21017	8584
710	21062	8561
711	21100	8535
712	21135	8507
713	21172	8480
714	21208	8453
715	21247	8427
716	21287	8402
717	21316	8372
718	21363	8349
719	21407	8325
720	21444	8298
721	21480	8270
722	21519	8244
723	21581	8227
724	21616	8199
725	21654	8172
726	21690	8145
727	21728	8118
728	21768	8092
729	21795	8061
730	21833	8034
731	21863	8004
732	21899	7976
733	21937	7950
734	21984	7926
735	22020	7898
736	22066	7874
737	22105	7847
738	22142	7820
739	22173	7790
740	22207	7762
741	22234	7731
742	22265	7701
743	22301	7673
744	22333	7644
745	22364	7614
746	22406	7588
747	22452	7564
748	22479	7533
749	22513	7504
750	22546	7475
751	22585	7448
752	22619	7419
753	22652	7390
754	22684	7361
755	22716	7331
756	22748	7302
757	22788	7275
758	22827	7248
759	22861	7219
760	22897	7191
761	22929	7161
762	22961	7132
