iter	RMSE
0	141576.6148
1	138373.544
2	135529.2438
3	133300.8523
4	131011.353
5	129133.7677
6	127003.2987
7	124980.3823
8	123301.1563
9	121910.1925
10	120531.9314
11	119209.7697
12	118268.3301
13	116602.4244
14	114918.0166
15	113739.6891
16	112843.1941
17	111603.1117
18	110655.6125
19	109869.2277
20	109046.0859
21	108233.6134
22	107528.675
23	106958.6236
24	106400.5914
25	105878.9449
26	105340.7599
27	104872.8782
28	104286.7115
29	103849.7814
30	103236.0702
31	102896.0137
32	102530.416
33	102123.1029
34	101660.7786
35	100772.1858
36	100257.5352
37	99827.93832
38	99301.49011
39	99107.98963
40	98758.58263
41	98589.6565
42	97997.69454
43	97820.95154
44	97610.32136
45	97334.41734
46	97274.56987
47	97015.56539
48	96799.95351
49	96609.4822
50	96334.59299
51	96077.04187
52	95946.73394
53	95582.47855
54	95295.90299
55	94847.03399
56	94379.74941
57	94220.81656
58	94084.05695
59	93876.13749
60	93799.83016
61	93675.54802
62	93549.36449
63	93547.40819
64	93418.26306
65	93214.6358
66	93036.56635
67	92683.52503
68	92616.37545
69	92401.88908
70	92215.10043
71	92082.22299
72	91705.07726
73	91498.85757
74	91430.46444
75	91269.96001
76	91120.85889
77	91032.08995
78	90978.07286
79	90800.12563
80	90791.81249
81	90687.94981
82	90590.41059
83	90542.06821
84	90521.13278
85	90408.0442
86	90298.39716
87	90263.43215
88	90196.49529
89	90160.41759
90	90076.40853
91	89966.24538
92	89960.38108
93	89885.6496
94	89854.79726
95	89797.15642
96	89765.80056
97	89707.35094
98	89546.37375
99	89417.39901
100	89369.96529
101	89350.34285
102	89127.22099
103	89088.52339
104	89080.12916
105	88787.60626
106	88776.47118
107	88625.27464
108	88607.78492
109	88484.24079
110	88316.92974
111	88009.06162
112	87975.20724
113	87929.85361
114	87874.95592
115	87870.46178
116	87827.38706
117	87648.37303
118	87593.77877
119	87582.047
120	87531.77807
121	87463.53656
122	87257.29763
123	87189.02206
124	87174.34803
125	86967.79081
126	86699.10488
127	86680.35271
128	86665.08737
129	86485.53047
130	86396.09857
131	86275.96925
132	86244.46525
133	86238.03311
134	86155.6521
135	85983.92212
136	85893.77936
137	85807.44527
138	85651.37582
139	85503.23001
140	85415.8784
141	85341.78715
142	85311.12368
143	85224.05808
144	85177.83068
145	85114.81856
146	84920.06006
147	84842.27196
148	84807.42446
149	84736.44386
150	84556.3797
151	84360.55773
152	84199.49002
153	84183.28075
154	84141.69543
155	84107.23959
156	84080.66921
157	84064.72868
158	83969.28266
159	83814.21485
160	83705.05762
161	83618.96126
162	83537.56393
163	83459.28727
164	83384.95654
165	83307.14875
166	83183.29283
167	83149.643
168	83108.80481
169	83074.1709
170	83040.56912
171	83002.93975
172	82910.86296
173	82734.81107
174	82702.95869
175	82648.25491
176	82632.49372
177	82605.09122
178	82538.66167
179	82504.45441
180	82472.64312
181	82471.91318
182	82470.53556
183	82433.25943
184	82376.16294
185	82310.60447
186	82297.63547
187	82254.24788
188	82254.0323
189	82250.10135
190	82171.61059
191	82171.42411
192	82171.24828
193	82125.48558
194	82115.80374
195	82025.52268
196	81972.61809
197	81892.04901
198	81832.50175
199	81831.99883
200	81831.52801
201	81796.77613
202	81779.95144
203	81779.84169
204	81758.07897
205	81702.41032
206	81669.9891
207	81669.87116
208	81669.76931
209	81669.68353
210	81669.60044
211	81510.6358
212	81405.84941
213	81341.38471
214	81341.31205
215	81302.26348
216	81156.11311
217	81117.04555
218	81108.71968
219	81108.65221
220	81107.68597
221	80999.92441
222	80864.14882
223	80789.40845
224	80739.3759
225	80693.35729
226	80656.36989
227	80585.47631
228	80529.53801
229	80528.14347
230	80492.52972
231	80425.50661
232	80412.70726
233	80332.46213
234	80324.61635
235	80323.88869
236	80314.9818
237	80244.27221
238	80242.2398
239	80239.47618
240	80167.17357
241	80117.54482
242	80087.51884
243	80086.88196
244	80075.70704
245	80075.26143
246	80072.33349
247	80008.63572
248	80003.39597
249	80001.97311
250	79915.40447
251	79810.32021
252	79707.61041
253	79698.70882
254	79695.34677
255	79582.81769
256	79546.7642
257	79478.83612
258	79440.29673
259	79407.83684
260	79393.13085
261	79314.32993
262	79302.91366
263	79256.46978
264	79224.54248
265	79222.90115
266	79157.52429
267	79156.14153
268	79137.35576
269	79128.55877
270	79047.33405
271	79034.30875
272	78987.87045
273	78888.87944
274	78833.47004
275	78831.93164
276	78787.95807
277	78740.32082
278	78711.71907
279	78658.56718
280	78601.19073
281	78599.98479
282	78560.30649
283	78558.89093
284	78509.95755
285	78509.17125
286	78458.43515
287	78355.7888
288	78313.82326
289	78238.07356
290	78236.96275
291	78169.9268
292	78169.64675
293	78161.28699
294	78099.92952
295	78033.56695
296	77967.95652
297	77967.63925
298	77852.40488
299	77795.40466
300	77730.31416
301	77601.15137
302	77553.15489
303	77489.44011
304	77441.88322
305	77431.92957
306	77372.05062
307	77370.56522
308	77356.52182
309	77285.55841
310	77204.3682
311	77109.42988
312	77099.68601
313	77042.69432
314	77042.33915
315	77035.67858
316	77035.36315
317	76970.59691
318	76965.14464
319	76964.81471
320	76909.63867
321	76909.47074
322	76804.51772
323	76760.18694
324	76743.00255
325	76713.78739
326	76683.20797
327	76631.36008
328	76625.51228
329	76623.58958
330	76593.00845
331	76563.27001
332	76561.24281
333	76560.07622
334	76495.17943
335	76476.64741
336	76436.55137
337	76427.13703
338	76426.17749
339	76425.31819
340	76365.24046
341	76338.04869
342	76275.88467
343	76275.07821
344	76274.66493
345	76213.95431
346	76181.0881
347	76179.67718
348	76171.36917
349	76111.9596
350	76111.39875
351	76108.06807
352	76053.26639
353	76048.64359
354	75975.27728
355	75974.89982
356	75974.83643
357	75946.87076
358	75836.6773
359	75776.85222
360	75757.07822
361	75720.80188
362	75691.62021
363	75691.53634
364	75664.00408
365	75617.09113
366	75616.79874
367	75582.37244
368	75548.49839
369	75548.2463
370	75526.20676
371	75525.9314
372	75525.40968
373	75509.24309
374	75493.35721
375	75492.78016
376	75491.13599
377	75477.45348
378	75477.21565
379	75425.93477
380	75400.87207
381	75399.78043
382	75399.64978
383	75397.21095
384	75396.95835
385	75346.3027
386	75339.57646
387	75230.72533
388	75224.59114
389	75224.41362
390	75219.50706
391	75219.26551
392	75218.56995
393	75199.4264
394	75198.89368
395	75198.80052
396	75191.75248
397	75190.82084
398	75157.97616
399	75157.03245
400	75156.90721
401	75070.57184
402	75069.62996
403	75001.49971
404	74999.84186
405	74981.27308
406	74944.55988
407	74932.36684
408	74914.26057
409	74871.94491
410	74830.12019
411	74829.68723
412	74756.23446
413	74756.22567
414	74752.43048
415	74704.83667
416	74638.32973
417	74637.30026
418	74636.58754
419	74636.50542
420	74612.55357
421	74559.64159
422	74559.45955
423	74559.38322
424	74529.98178
425	74500.8567
426	74439.31992
427	74439.13759
428	74425.37933
429	74425.03814
430	74424.98813
431	74413.81902
432	74413.15711
433	74378.95954
434	74378.80061
435	74378.5004
436	74377.74106
437	74377.12887
438	74376.42837
439	74376.30476
440	74375.2128
441	74374.95378
442	74334.6164
443	74334.59873
444	74334.3543
445	74297.94017
446	74265.34614
447	74163.31926
448	74135.75392
449	74135.54722
450	74135.51474
451	74135.47931
452	74135.44978
453	74098.13729
454	74098.0782
455	74097.91571
456	74097.7739
457	74097.72664
458	74097.5346
459	74097.41052
460	74097.30121
461	74087.58962
462	74071.03533
463	74018.53773
464	73980.51825
465	73952.35491
466	73935.18706
467	73924.41478
468	73924.15715
469	73924.12458
470	73901.66584
471	73874.05325
472	73830.65514
473	73799.52179
474	73798.9226
475	73770.39319
476	73770.38726
477	73728.36817
478	73728.24941
479	73700.93718
480	73700.93421
481	73660.99149
482	73660.8637
483	73658.14738
484	73643.17607
485	73617.73243
486	73557.41509
487	73540.96769
488	73486.03003
489	73425.4435
490	73406.21703
491	73398.58229
492	73387.97584
493	73372.43624
494	73372.17667
495	73371.23387
496	73371.08767
497	73337.24593
498	73336.06089
499	73228.96685
500	73228.94293
501	73182.47616
502	73149.33124
503	73134.03128
504	73132.56456
505	73104.45185
506	73103.7781
507	73080.17462
508	73072.25716
509	73072.25716
510	73065.10885
511	73064.95006
512	73050.41756
513	72992.62752
514	72918.86132
515	72915.80512
516	72873.2332
517	72872.8577
518	72840.52759
519	72825.50242
520	72796.47726
521	72769.98251
522	72731.96049
523	72687.60946
524	72687.01014
525	72635.01913
526	72580.40613
527	72578.34008
528	72541.01429
529	72512.14393
530	72477.15208
531	72456.57425
532	72419.04061
533	72407.25369
534	72396.62901
535	72392.4924
536	72355.6244
537	72296.29189
538	72268.69293
539	72237.32884
540	72195.83048
541	72167.93224
542	72167.9019
543	72164.29821
544	72138.54842
545	72128.47599
546	72081.84646
547	72054.1441
548	72048.76034
549	72036.53298
550	72003.32875
551	72002.12176
552	71993.38639
553	71977.85593
554	71946.8397
555	71934.87499
556	71930.69661
557	71904.54654
558	71843.98531
559	71821.07423
560	71817.78843
561	71808.77456
562	71807.81123
563	71807.13445
564	71807.06128
565	71780.57645
566	71780.56425
567	71767.23277
568	71767.09245
569	71766.24752
570	71724.86727
571	71700.07101
572	71694.34617
573	71694.34617
574	71694.21182
575	71694.08358
576	71639.27886
577	71606.70362
578	71588.01308
579	71587.93052
580	71496.48037
581	71494.55752
582	71457.67964
583	71436.06349
584	71435.07981
585	71399.45893
586	71391.09751
587	71388.42668
588	71330.64662
589	71317.68838
590	71282.62304
591	71282.2453
592	71267.11891
593	71253.89413
594	71230.31997
595	71182.25023
596	71155.17289
597	71152.05632
