iter	Passed	Remaining
0	33	33673
1	67	33848
2	102	33968
3	134	33475
4	167	33425
5	208	34590
6	243	34577
7	276	34343
8	309	34133
9	343	33981
10	385	34634
11	423	34874
12	459	34917
13	493	34729
14	526	34594
15	564	34719
16	596	34490
17	632	34516
18	668	34513
19	701	34373
20	737	34393
21	771	34295
22	806	34246
23	839	34144
24	874	34102
25	908	34050
26	943	34006
27	983	34141
28	1019	34135
29	1055	34138
30	1089	34047
31	1126	34083
32	1171	34341
33	1206	34275
34	1238	34157
35	1273	34102
36	1306	34009
37	1343	34022
38	1378	33976
39	1411	33886
40	1449	33898
41	1482	33820
42	1517	33769
43	1552	33730
44	1585	33642
45	1618	33571
46	1649	33450
47	1683	33383
48	1717	33328
49	1750	33256
50	1783	33188
51	1819	33170
52	1861	33256
53	1902	33324
54	1941	33352
55	1977	33329
56	2018	33401
57	2057	33410
58	2092	33378
59	2133	33425
60	2165	33333
61	2198	33256
62	2232	33199
63	2269	33193
64	2302	33114
65	2339	33103
66	2372	33039
67	2406	32987
68	2440	32932
69	2477	32919
70	2513	32884
71	2553	32916
72	2601	33031
73	2634	32964
74	2672	32965
75	2713	32993
76	2753	33010
77	2790	32986
78	2823	32917
79	2859	32880
80	2898	32890
81	2935	32866
82	2973	32850
83	3010	32823
84	3049	32823
85	3086	32801
86	3124	32790
87	3157	32719
88	3195	32705
89	3224	32605
90	3257	32540
91	3294	32518
92	3316	32347
93	3359	32379
94	3400	32390
95	3432	32318
96	3463	32244
97	3499	32208
98	3534	32164
99	3565	32093
100	3598	32032
101	3630	31958
102	3663	31904
103	3694	31831
104	3737	31855
105	3772	31813
106	3803	31744
107	3837	31691
108	3871	31645
109	3908	31624
110	3943	31584
111	3977	31536
112	4009	31469
113	4046	31447
114	4084	31435
115	4124	31430
116	4158	31382
117	4200	31395
118	4234	31345
119	4266	31288
120	4304	31273
121	4337	31214
122	4371	31166
123	4408	31146
124	4443	31107
125	4480	31076
126	4514	31031
127	4546	30973
128	4571	30869
129	4609	30846
130	4652	30859
131	4691	30848
132	4729	30827
133	4777	30876
134	4817	30864
135	4852	30829
136	4887	30786
137	4923	30755
138	4957	30707
139	4989	30652
140	5024	30610
141	5064	30601
142	5096	30545
143	5131	30504
144	5165	30457
145	5204	30442
146	5240	30408
147	5273	30360
148	5310	30327
149	5348	30307
150	5381	30255
151	5415	30210
152	5448	30165
153	5488	30148
154	5520	30096
155	5556	30060
156	5598	30061
157	5645	30084
158	5678	30036
159	5713	29996
160	5746	29945
161	5780	29901
162	5817	29870
163	5863	29889
164	5900	29859
165	5932	29806
166	5972	29789
167	6024	29835
168	6081	29903
169	6120	29880
170	6154	29837
171	6188	29791
172	6221	29739
173	6259	29712
174	6300	29703
175	6341	29689
176	6378	29657
177	6412	29612
178	6447	29573
179	6484	29539
180	6517	29490
181	6559	29483
182	6576	29358
183	6613	29331
184	6648	29290
185	6685	29256
186	6718	29211
187	6754	29174
188	6774	29069
189	6810	29033
190	6847	29001
191	6866	28898
192	6886	28795
193	6934	28809
194	6970	28774
195	7003	28729
196	7041	28702
197	7077	28669
198	7122	28668
199	7145	28582
200	7172	28512
201	7211	28487
202	7249	28462
203	7266	28352
204	7311	28352
205	7349	28327
206	7383	28286
207	7405	28196
208	7422	28093
209	7435	27972
210	7452	27866
211	7490	27843
212	7528	27816
213	7561	27771
214	7576	27664
215	7612	27629
216	7647	27593
217	7679	27548
218	7715	27514
219	7731	27412
220	7777	27415
221	7813	27382
222	7852	27358
223	7891	27338
224	7936	27336
225	7987	27353
226	8024	27324
227	8059	27288
228	8094	27254
229	8126	27207
230	8160	27165
231	8199	27141
232	8235	27111
233	8269	27071
234	8315	27069
235	8348	27028
236	8388	27006
237	8430	26991
238	8466	26958
239	8495	26901
240	8546	26917
241	8579	26873
242	8614	26835
243	8648	26794
244	8681	26752
245	8720	26727
246	8769	26734
247	8812	26723
248	8848	26686
249	8882	26646
250	8916	26606
251	8955	26583
252	8999	26570
253	9035	26536
254	9069	26498
255	9107	26468
256	9140	26425
257	9184	26414
258	9223	26388
259	9265	26371
260	9312	26368
261	9346	26327
262	9384	26296
263	9421	26265
264	9459	26236
265	9505	26229
266	9544	26201
267	9568	26134
268	9605	26102
269	9638	26058
270	9672	26020
271	9708	25983
272	9741	25941
273	9775	25900
274	9809	25861
275	9843	25820
276	9879	25785
277	9914	25749
278	9952	25718
279	9985	25676
280	10020	25640
281	10051	25593
282	10085	25551
283	10119	25512
284	10156	25479
285	10188	25436
286	10225	25402
287	10261	25367
288	10293	25324
289	10330	25292
290	10362	25247
291	10396	25207
292	10428	25163
293	10463	25126
294	10500	25094
295	10536	25060
296	10568	25016
297	10594	24956
298	10640	24947
299	10675	24908
300	10713	24880
301	10747	24839
302	10781	24800
303	10818	24767
304	10850	24724
305	10882	24680
306	10914	24638
307	10947	24595
308	10979	24552
309	11013	24513
310	11047	24473
311	11082	24437
312	11119	24407
313	11152	24365
314	11184	24320
315	11218	24282
316	11254	24247
317	11287	24207
318	11319	24165
319	11351	24122
320	11384	24082
321	11410	24025
322	11443	23985
323	11475	23943
324	11512	23911
325	11549	23878
326	11582	23838
327	11616	23799
328	11653	23767
329	11684	23722
330	11720	23688
331	11759	23661
332	11793	23622
333	11829	23587
334	11863	23550
335	11901	23520
336	11935	23481
337	11971	23446
338	11994	23388
339	12018	23329
340	12055	23298
341	12093	23267
342	12130	23235
343	12164	23198
344	12195	23152
345	12227	23112
346	12262	23076
347	12301	23046
348	12341	23020
349	12382	22995
350	12414	22955
351	12454	22928
352	12490	22893
353	12525	22856
354	12561	22823
